Complaint,DateOccur,Crime,crimeCat,Description,ILEADSAddress,ILEADSStreet,XCoord,YCoord,xyStatus
16-001028,01/07/2016 09:25,31111,Robbery,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,0,N FLORISSANT AVE / MONROE ST,906444.8,1024445,FALSE
16-001950,01/07/2016 12:00,21000,Forcible Rape,RAPE -- FORCIBLE,1900,N EUCLID AVE,0,0,TRUE
16-001048,01/07/2016 12:34,43012,Aggravated Assault,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,0,N 14TH ST / DESTREHAN ST,906492.1,1029147,FALSE
16-001241,01/07/2016 14:20,31311,Robbery,ROBBERY-HIGHWAY/OTHR WEPN USED/SUCCESSFUL,1033,WHITTIER ST,893423.7,1025396,FALSE
16-001084,01/07/2016 15:13,43014,Aggravated Assault,ASSLT-AGGRAV-OTH-WPN-1ST-ADULT-DOMESTIC,3800,WATSON RD,877168.9,1005765,FALSE
16-001116,01/07/2016 17:12,31111,Robbery,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1037,MORRISON AVE,905628.5,1013189,FALSE
16-001117,01/07/2016 17:30,41011,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,6306,VIRGINIA AVE,891448.8,992547.8,FALSE
16-001117,01/07/2016 17:30,41011,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,6306,VIRGINIA AVE,891448.8,992547.8,FALSE
16-001115,01/07/2016 17:40,34112,Robbery,ROBBERY-CONVEN STOR/FIREARM USED/ATTEMPT,3801,S KINGSHIGHWAY BLVD,885036.1,1004585,FALSE
16-001158,01/07/2016 22:45,43013,Aggravated Assault,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,4446,KENNETH PL,895965.4,1036942,FALSE
16-001155,01/07/2016 22:47,31111,Robbery,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,224,YORK AVE,888034.9,1023481,FALSE
16-001160,01/07/2016 23:36,43016,Aggravated Assault,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,300,S GRAND BLVD,896423.8,1019015,FALSE
16-001215,01/08/2016 08:44,43013,Aggravated Assault,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,3035,CASS AVE,899825.3,1024601,FALSE
16-001215,01/08/2016 08:44,43013,Aggravated Assault,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,3035,CASS AVE,899825.3,1024601,FALSE
